,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total,
Mañanas,4,1,5,6,6,2,3,5,2,4,,,38,
Tardes,3,2,4,4,3,3,6,3,2,5,,,35,
Noches,4,3,5,5,4,2,5,5,3,5,,,41/53,
Vacaciones,0,0,0,0,0,11,0,0,11,0,,,22/26,
AP's,1,6,1,0,0,0,0,1,0,0,,,1/14,
Ferias,0,1,0,1,0,1,1,1,0,1,,,6/6,
Días de Trabajo Sindical,2,2,2,2,2,1,2,2,1,2,,,18,
Días de Baja,0,0,0,0,0,0,0,0,0,0,,,0,
Días de Juicio,0,0,0,0,0,1,0,0,0,0,,,1,
Permisos,0,0,0,0,0,0,0,0,0,0,,,0,
Cursos,0,0,3,0,0,0,0,0,0,0,,,3,
Descansos Compensados,2,0,0,0,2,0,0,0,1,2,,,7,
Indisposiciones,0,0,0,0,0,0,0,1,0,0,,,1/5,
Jefaturas de Servicio,11,9,17,17,13,10,20,17,7,14,,,135,
Festivos trabajados,1,0,1,3,1,0,0,2,1,1,,,10/20,
Fines de semana trabajados,2,1,5,3,2,2,5,1,2,2,5,1,2,5,,,20/23,
Horas Trabajadas,127.5,121.13,172.88,154.38,134.5,78.75,146.38,151.38,75.13,161.38,,,1330.38,
1ex (N),0,0,0,0,0,0,0,0,,,,,0,0
2ex (N),0,0,0,0,0,0,0,0,,,,,0,0
3ex (N),2,1,1,0,0,2,2,3,,,,,11,99
1ex (F),0,1,1,0,0,1,1,0,,,,,4,30
2ex (F),0,0,0,1,1,0,1,1,,,,,4,30
3ex (F),1,1,2,1,2,0,2,0,,,,,9,81
