,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total,
Mañanas,4,5,3,3,3,3,4,3,3,5,,,36,
Tardes,6,5,0,8,7,2,8,8,9,4,,,57,
Noches,4,4,5,5,4,3,5,5,5,5,,,45/54,
Vacaciones,0,0,0,0,0,11,0,0,0,0,,,11/22,
AP's,2,0,4,0,1,0,0,0,0,0,,,1/8,
Ferias,1,1,0,1,1,0,0,0,0,1,,,5/6,
Días de Trabajo Sindical,0,0,0,0,0,0,0,0,0,0,,,0,
Días de Baja,0,0,0,0,0,0,0,0,0,0,,,0,
Días de Juicio,0,0,0,0,0,0,0,0,0,0.5,,,0.5,
Permisos,0,0,4,0,0,0,0,0,0,0,,,4,
Cursos,0,0,2,0,0,0,0,0,0,0,,,2,
Descansos Compensados,0,0,0,0,2,0,0,0,0,4,,,6,
Indisposiciones,0,0,0,0,0,0,0,1,0,0,,,1/5,
Jefaturas de Servicio,5,1,4,4,4,1,7,7,4,8,,,45,
Festivos trabajados,1,1,1,0,2,0,2,2,1,0,,,10/20,
Fines de semana trabajados,2,2,2.5,2,2.5,1,2,2.5,2,2.5,,,21/24,H. de baja
Horas Trabajadas,144,127.5,158.38,147.38,136.5,75.63,155.38,153.88,155.38,165.38,,,1423.88,
1ex (N),0,0,0,0,0,0,0,0,,,,,0,0
2ex (N),1,0,0,0,0,0,0,0,,,,,1,7.5
3ex (N),0,2,0,1,0,0,1,1,,,,,2,18
1ex (F),1,0,0,0,1,0,0,0,,,,,2,15
2ex (F),0,0,0,0,0,0,0,0,,,,,0,0
3ex (F),2,0,1,1,0,0,1,2,,,,,6,54
